::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1142
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/...root/js/jquery-3.4.1.js HTTP/1.1" 404 238
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/...root/js/materialize.js HTTP/1.1" 404 237
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:24:48 -0300] "GET /cliente/visao/...root/js/materialize.js HTTP/1.1" 404 237
::1 - - [18/Apr/2020:01:25:24 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1118
::1 - - [18/Apr/2020:01:25:24 -0300] "GET /cliente/visao/css/materialize.css HTTP/1.1" 200 179245
::1 - - [18/Apr/2020:01:25:24 -0300] "GET /cliente/visao/js/jquery-3.4.1.js HTTP/1.1" 200 290962
::1 - - [18/Apr/2020:01:25:24 -0300] "GET /cliente/visao/js/materialize.js HTTP/1.1" 200 371026
::1 - - [18/Apr/2020:01:25:24 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:25:25 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1118
::1 - - [18/Apr/2020:01:25:25 -0300] "GET /cliente/visao/css/materialize.css HTTP/1.1" 200 179245
::1 - - [18/Apr/2020:01:25:25 -0300] "GET /cliente/visao/js/materialize.js HTTP/1.1" 200 371026
::1 - - [18/Apr/2020:01:25:25 -0300] "GET /cliente/visao/js/jquery-3.4.1.js HTTP/1.1" 200 290962
::1 - - [18/Apr/2020:01:25:25 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
